TicketID,Cliente,DataAbertura,TempoResolucao_Horas,Status,CSAT
933055,da Rocha,2026-09-24 11:46:48,22,Resolvido,5.0
481240,Fonseca Araújo e Filhos,2026-09-24 11:46:00,39,Resolvido,3.0
716597,Silva,2026-09-24 11:48:18,17,Resolvido,5.0
380308,Vargas,2026-09-24 11:47:32,62,Resolvido,1.0
854167,Pastor e Filhos,2026-09-24 11:48:42,35,Resolvido,3.0
533846,da Cruz,2026-09-24 11:49:25,22,Escalado,
489633,Gonçalves,2026-09-24 11:46:37,12,Resolvido,5.0
670885,Correia - EI,2026-09-24 11:44:45,18,Resolvido,4.0
317909,Fogaça - ME,2026-09-24 11:48:58,68,Resolvido,1.0
16611,Porto,2026-09-24 11:46:23,13,Resolvido,5.0
132278,Sales Cavalcanti S.A.,2026-09-24 11:45:22,23,Resolvido,4.0
753015,Aparecida S.A.,2026-09-24 11:45:01,11,Resolvido,5.0
926461,Campos,2026-09-24 11:44:21,14,Resolvido,5.0
401656,Pimenta,2026-09-24 11:49:09,25,Resolvido,3.0
468063,Brito - EI,2026-09-24 11:48:55,11,Em Andamento,
808139,Rodrigues,2026-09-24 11:46:44,39,Resolvido,4.0
508629,Sampaio,2026-09-24 11:47:40,17,Resolvido,5.0
41058,da Cruz,2026-09-24 11:48:42,23,Resolvido,4.0
669180,Azevedo,2026-09-24 11:47:27,38,Em Andamento,
226036,Rios,2026-09-24 11:44:22,42,Em Andamento,
249670,Cirino,2026-09-24 11:48:06,12,Resolvido,5.0
637893,Martins,2026-09-24 11:48:04,62,Escalado,
669238,Borges Andrade - EI,2026-09-24 11:47:50,1,Resolvido,5.0
59271,Lima,2026-09-24 11:46:32,17,Resolvido,5.0
818650,Silveira,2026-09-24 11:49:26,49,Em Andamento,
805108,Ribeiro,2026-09-24 11:47:40,18,Escalado,
422993,Garcia Alves Ltda.,2026-09-24 11:48:17,7,Resolvido,4.0
388958,Ramos S.A.,2026-09-24 11:44:00,70,Resolvido,1.0
162764,Cirino - ME,2026-09-24 11:48:59,69,Resolvido,3.0
952487,Machado,2026-09-24 11:46:50,12,Resolvido,4.0
79999,Barros,2026-09-24 11:48:26,32,Em Andamento,
759082,Rios Melo - EI,2026-09-24 11:49:37,70,Em Andamento,
370730,Casa Grande,2026-09-24 11:44:45,18,Em Andamento,
511556,Lopes,2026-09-24 11:44:35,4,Resolvido,4.0
718996,Santos,2026-09-24 11:45:12,17,Em Andamento,
349586,Pacheco - EI,2026-09-24 11:44:32,3,Resolvido,4.0
111276,Rezende,2026-09-24 11:48:53,71,Em Andamento,
527510,Vieira,2026-09-24 11:46:39,72,Em Andamento,
914585,Peixoto e Filhos,2026-09-24 11:45:32,18,Resolvido,5.0
482795,Casa Grande,2026-09-24 11:46:27,15,Resolvido,5.0
532849,Moraes S.A.,2026-09-24 11:46:28,5,Resolvido,5.0
386532,Nunes Ltda.,2026-09-24 11:47:50,58,Em Andamento,
30402,Montenegro,2026-09-24 11:47:33,4,Resolvido,5.0
736299,Barbosa S.A.,2026-09-24 11:45:12,59,Escalado,
306805,Macedo,2026-09-24 11:47:58,47,Resolvido,3.0
559913,Ferreira Ribeiro e Filhos,2026-09-24 11:45:16,4,Em Andamento,
700643,Aparecida Alves S.A.,2026-09-24 11:47:29,15,Resolvido,5.0
960019,Nascimento,2026-09-24 11:45:29,6,Resolvido,5.0
190811,da Paz,2026-09-24 11:49:20,23,Em Andamento,
938794,Aragão Ltda.,2026-09-24 11:47:18,39,Resolvido,3.0
751257,Pinto da Cruz - ME,2026-09-24 11:45:33,32,Resolvido,3.0
848040,Ferreira,2026-09-24 11:45:35,59,Escalado,
140391,Fernandes - ME,2026-09-24 11:45:58,45,Resolvido,3.0
444879,da Paz,2026-09-24 11:46:30,35,Resolvido,4.0
654688,Montenegro,2026-09-24 11:44:10,46,Em Andamento,
247899,Pires,2026-09-24 11:49:12,57,Resolvido,2.0
454155,Azevedo,2026-09-24 11:47:44,62,Escalado,
205492,Santos Cassiano - EI,2026-09-24 11:45:44,22,Resolvido,4.0
12,Vasconcelos,2026-09-24 11:49:22,69,Resolvido,1.0
588674,Brito,2026-09-24 11:44:22,7,Escalado,
407529,Ribeiro Vasconcelos e Filhos,2026-09-24 11:46:13,58,Em Andamento,
165723,Souza,2026-09-24 11:43:52,28,Em Andamento,
358753,Costela e Filhos,2026-09-24 11:44:17,33,Resolvido,4.0
438453,Ramos Castro S/A,2026-09-24 11:47:35,28,Resolvido,3.0
816240,Almeida e Filhos,2026-09-24 11:44:24,42,Resolvido,3.0
431754,Carvalho Siqueira e Filhos,2026-09-24 11:49:09,27,Escalado,
451310,Cunha,2026-09-24 11:43:50,45,Resolvido,3.0
232536,Souza Freitas S/A,2026-09-24 11:47:01,50,Resolvido,1.0
394073,Andrade,2026-09-24 11:44:06,14,Em Andamento,
604525,Fonseca - ME,2026-09-24 11:48:44,54,Em Andamento,
757943,Rezende,2026-09-24 11:45:14,62,Resolvido,1.0
460118,da Mota,2026-09-24 11:48:02,51,Resolvido,2.0
463956,Araújo da Rosa S/A,2026-09-24 11:49:24,62,Resolvido,1.0
507626,Caldeira,2026-09-24 11:46:49,37,Resolvido,3.0
100958,Guerra da Cunha S/A,2026-09-24 11:43:56,31,Resolvido,3.0
270843,da Rosa S.A.,2026-09-24 11:46:03,46,Em Andamento,
287386,Silveira - EI,2026-09-24 11:48:14,50,Resolvido,1.0
732678,Costa,2026-09-24 11:45:13,10,Resolvido,5.0
200897,Marques - EI,2026-09-24 11:47:33,69,Resolvido,1.0
21586,Moura,2026-09-24 11:47:20,71,Resolvido,1.0
249242,Dias,2026-09-24 11:45:11,12,Resolvido,5.0
690934,Leão,2026-09-24 11:49:19,27,Resolvido,4.0
159992,da Mata Azevedo Ltda.,2026-09-24 11:48:17,1,Em Andamento,
825619,da Cunha da Rosa - EI,2026-09-24 11:46:01,21,Em Andamento,
79534,Freitas,2026-09-24 11:44:31,29,Em Andamento,
268835,da Mata Novaes S.A.,2026-09-24 11:49:20,53,Resolvido,1.0
336304,Almeida Nunes - EI,2026-09-24 11:47:19,20,Escalado,
223719,Oliveira da Luz S/A,2026-09-24 11:47:23,49,Resolvido,1.0
288749,Costela Vasconcelos Ltda.,2026-09-24 11:49:17,46,Resolvido,3.0
871160,Rodrigues Carvalho e Filhos,2026-09-24 11:44:02,63,Resolvido,1.0
595284,Pires - ME,2026-09-24 11:48:36,50,Resolvido,1.0
214983,das Neves S/A,2026-09-24 11:44:29,14,Resolvido,4.0
646220,Rezende,2026-09-24 11:48:55,30,Resolvido,4.0
702630,Monteiro,2026-09-24 11:46:43,19,Resolvido,5.0
757651,Souza,2026-09-24 11:45:00,70,Resolvido,3.0
713557,Santos,2026-09-24 11:44:07,56,Resolvido,1.0
413840,Barbosa,2026-09-24 11:47:43,50,Em Andamento,
627142,Barbosa Ltda.,2026-09-24 11:45:24,57,Resolvido,2.0
717211,Martins Ribeiro S.A.,2026-09-24 11:44:44,20,Em Andamento,
396585,Cavalcanti,2026-09-24 11:46:10,20,Em Andamento,
470662,Azevedo S.A.,2026-09-24 11:45:06,55,Em Andamento,
695525,Campos Ltda.,2026-09-24 11:47:18,18,Resolvido,4.0
123611,Araújo,2026-09-24 11:44:40,27,Resolvido,4.0
55230,Cunha Martins S.A.,2026-09-24 11:49:26,11,Resolvido,5.0
529811,Cardoso,2026-09-24 11:43:55,66,Resolvido,1.0
731660,Vieira,2026-09-24 11:46:07,29,Escalado,
690374,Lopes Ltda.,2026-09-24 11:46:12,27,Resolvido,4.0
522874,das Neves,2026-09-24 11:44:12,35,Resolvido,4.0
107273,Aparecida,2026-09-24 11:44:30,16,Resolvido,4.0
842007,Cirino,2026-09-24 11:46:55,52,Resolvido,3.0
549582,Duarte Ltda.,2026-09-24 11:48:25,54,Resolvido,1.0
627145,Jesus Ltda.,2026-09-24 11:46:42,40,Resolvido,3.0
509729,da Mota,2026-09-24 11:46:13,35,Resolvido,4.0
757293,Fonseca,2026-09-24 11:45:00,25,Resolvido,4.0
453375,da Mota S/A,2026-09-24 11:43:57,28,Resolvido,3.0
33460,Peixoto,2026-09-24 11:48:45,8,Resolvido,5.0
533775,Moraes,2026-09-24 11:44:16,40,Resolvido,3.0
804766,Silva,2026-09-24 11:48:11,60,Resolvido,1.0
64818,Moraes - ME,2026-09-24 11:48:39,8,Resolvido,4.0
274021,Vieira - EI,2026-09-24 11:47:21,41,Em Andamento,
384573,Montenegro Melo Ltda.,2026-09-24 11:45:21,21,Escalado,
23963,Fernandes Silva S.A.,2026-09-24 11:45:00,21,Resolvido,4.0
402908,Nunes Souza Ltda.,2026-09-24 11:48:28,53,Em Andamento,
728702,Carvalho,2026-09-24 11:47:07,60,Resolvido,2.0
422751,Oliveira - ME,2026-09-24 11:47:44,41,Resolvido,4.0
704103,Cardoso Freitas e Filhos,2026-09-24 11:46:59,32,Resolvido,4.0
825577,Castro,2026-09-24 11:45:11,72,Escalado,
518530,Aragão,2026-09-24 11:47:02,68,Resolvido,2.0
200585,Duarte,2026-09-24 11:49:24,61,Resolvido,1.0
192202,Monteiro - ME,2026-09-24 11:46:35,47,Resolvido,3.0
990990,Pastor,2026-09-24 11:43:55,31,Resolvido,3.0
283306,Ramos Melo Ltda.,2026-09-24 11:45:07,6,Resolvido,5.0
527976,Montenegro da Paz e Filhos,2026-09-24 11:48:49,68,Resolvido,1.0
152407,Costa Ramos e Filhos,2026-09-24 11:48:19,23,Resolvido,5.0
192643,Alves Silveira - ME,2026-09-24 11:45:25,23,Resolvido,4.0
653078,Monteiro,2026-09-24 11:47:41,6,Em Andamento,
614587,Câmara,2026-09-24 11:49:35,52,Resolvido,1.0
133364,Dias Costa - ME,2026-09-24 11:49:10,11,Resolvido,4.0
424813,da Mata S.A.,2026-09-24 11:47:58,59,Resolvido,1.0
296660,Azevedo,2026-09-24 11:46:24,13,Resolvido,5.0
34995,da Conceição,2026-09-24 11:44:26,31,Escalado,
646666,Cardoso e Filhos,2026-09-24 11:48:50,35,Em Andamento,
133312,Cardoso,2026-09-24 11:46:18,42,Resolvido,4.0
571764,Ferreira,2026-09-24 11:47:48,1,Resolvido,5.0
584273,Peixoto - EI,2026-09-24 11:47:06,18,Em Andamento,
584166,Fernandes,2026-09-24 11:48:51,69,Em Andamento,
657754,Borges,2026-09-24 11:48:10,4,Em Andamento,
